chapter_title,unit_title,unit_link,specialty,mean_score,median_score,word_count,figure_count
1: Essential Ideas,1.0: Introduction,https://chem.libretexts.org/Bookshelves/General_Chemistry/Chemistry_2e_(OpenStax)/01%3A_Essential_Ideas/1.00%3A_Introduction,General,0.5399999999999999,0.5285714285714286,339,1
1: Essential Ideas,1.1: Chemistry in Context,https://chem.libretexts.org/Bookshelves/General_Chemistry/Chemistry_2e_(OpenStax)/01%3A_Essential_Ideas/1.01%3A_Chemistry_in_Context,General,0.5399999999999999,0.5285714285714286,1741,5
1: Essential Ideas,1.2: Phases and Classification of Matter,https://chem.libretexts.org/Bookshelves/General_Chemistry/Chemistry_2e_(OpenStax)/01%3A_Essential_Ideas/1.02%3A_Phases_and_Classification_of_Matter,General,0.5399999999999999,0.5285714285714286,2871,13
1: Essential Ideas,1.3: Physical and Chemical Properties,https://chem.libretexts.org/Bookshelves/General_Chemistry/Chemistry_2e_(OpenStax)/01%3A_Essential_Ideas/1.03%3A_Physical_and_Chemical_Properties,General,0.5399999999999999,0.5285714285714286,1012,6
1: Essential Ideas,1.4: Measurements,https://chem.libretexts.org/Bookshelves/General_Chemistry/Chemistry_2e_(OpenStax)/01%3A_Essential_Ideas/1.04%3A_Measurements,General,0.5399999999999999,0.5285714285714286,2099,4
1: Essential Ideas,"1.5: Measurement Uncertainty, Accuracy, and Precision",https://chem.libretexts.org/Bookshelves/General_Chemistry/Chemistry_2e_(OpenStax)/01%3A_Essential_Ideas/1.05%3A_Measurement_Uncertainty_Accuracy_and_Precision,General,0.5399999999999999,0.5285714285714286,2021,10
1: Essential Ideas,1.6: Mathematical Treatment of Measurement Results,https://chem.libretexts.org/Bookshelves/General_Chemistry/Chemistry_2e_(OpenStax)/01%3A_Essential_Ideas/1.06%3A_Mathematical_Treatment_of_Measurement_Results,General,0.5399999999999999,0.5285714285714286,2465,2
1: Essential Ideas,1.7: Key Terms,https://chem.libretexts.org/Bookshelves/General_Chemistry/Chemistry_2e_(OpenStax)/01%3A_Essential_Ideas/1.07%3A_Key_Terms,General,0.5399999999999999,0.5285714285714286,134,1
1: Essential Ideas,1.8: Key Equations,https://chem.libretexts.org/Bookshelves/General_Chemistry/Chemistry_2e_(OpenStax)/01%3A_Essential_Ideas/1.08%3A_Key_Equations,General,0.5399999999999999,0.5285714285714286,134,0
1: Essential Ideas,1.9: Summary,https://chem.libretexts.org/Bookshelves/General_Chemistry/Chemistry_2e_(OpenStax)/01%3A_Essential_Ideas/1.09%3A_Summary,General,0.5399999999999999,0.5285714285714286,749,0
